airline_iata,airline_name,source_iata,source_city,destination_iata,destination_city,route,stops,aircraft_type,aircraft_capacity,price_usd
U2,easyJet,LTN,London,JED,Jeddah,LTN-JED,0,B787-9,290,1108.29
IB,Iberia,MAD,Madrid,GRU,Sao Paulo,MAD-GRU,1,A380-800,489,1283.85
BR,EVA Air,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,B787-9,290,1634.01
BA,British Airways,LHR,London,ORD,Chicago,LHR-ORD,1,A350-900,315,669.9
LA,LATAM Airlines,SCL,Santiago,YYZ,Toronto,SCL-YYZ,0,A380-800,489,1131.76
LA,LATAM Airlines,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B787-9,290,1603.23
FR,Ryanair,YUL,Montreal,CDG,Paris,YUL-CDG,0,B787-9,290,799.57
LH,Lufthansa,MUC,Munich,SYD,Sydney,MUC-SYD,1,A380-800,489,1463.74
NH,ANA,JFK,New York,DXB,Dubai,JFK-DXB,0,B787-9,290,1540.88
TK,Turkish Airlines,IST,Istanbul,HND,Tokyo,IST-HND,0,A380-800,489,1476.61
KL,KLM,JFK,New York,AMS,Amsterdam,JFK-AMS,0,A380-800,489,1762.45
QR,Qatar Airways,DOH,Doha,SFO,San Francisco,DOH-SFO,0,B787-9,290,1301.01
EK,Emirates,DXB,Dubai,SYD,Sydney,DXB-SYD,0,A350-900,315,1621.61
UA,United Airlines,ICN,Seoul,LAX,Los Angeles,ICN-LAX,0,B787-9,290,882.24
QR,Qatar Airways,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,B787-9,290,1294.7
KE,Korean Air,ICN,Seoul,FCO,Rome,ICN-FCO,1,B787-9,290,1186.93
EK,Emirates,SYD,Sydney,DXB,Dubai,SYD-DXB,1,B777-300ER,360,795.56
U2,easyJet,LTN,London,DXB,Dubai,LTN-DXB,0,B777-300ER,360,1722.88
LH,Lufthansa,DOH,Doha,LHR,London,DOH-LHR,0,B787-9,290,1795.32
AC,Air Canada,ICN,Seoul,ATL,Atlanta,ICN-ATL,1,B787-9,290,676.89
AZ,ITA Airways,FCO,Rome,DUB,Dublin,FCO-DUB,0,A320,180,273.44
AA,American Airlines,GVA,Geneva,CLT,Charlotte,GVA-CLT,1,B777-300ER,360,1178.36
BR,EVA Air,TPE,Taipei,LGW,London,TPE-LGW,0,B777-300ER,360,1653.75
KL,KLM,AMS,Amsterdam,KUL,Kuala Lumpur,AMS-KUL,0,B777-300ER,360,1263.87
DL,Delta Air Lines,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,B777-300ER,360,1011.46
IB,Iberia,MAD,Madrid,MEX,Mexico City,MAD-MEX,0,B777-300ER,360,1689.79
NZ,Air New Zealand,ORD,Chicago,LAX,Los Angeles,ORD-LAX,1,A320,180,85.3
UA,United Airlines,LHR,London,DOH,Doha,LHR-DOH,0,A350-900,315,1489.48
AV,Avianca,DXB,Dubai,SYD,Sydney,DXB-SYD,0,A380-800,489,1734.06
AC,Air Canada,YYZ,Toronto,ATL,Atlanta,YYZ-ATL,0,A321,220,200.03
LA,LATAM Airlines,GRU,Sao Paulo,HKG,Hong Kong,GRU-HKG,0,A350-900,315,1037.58
KE,Korean Air,AMS,Amsterdam,JFK,New York,AMS-JFK,0,B787-9,290,899.44
LA,LATAM Airlines,FRA,Frankfurt,DXB,Dubai,FRA-DXB,0,B787-9,290,1649.66
SQ,Singapore Airlines,LAX,Los Angeles,KUL,Kuala Lumpur,LAX-KUL,1,A350-900,315,752.06
IB,Iberia,MAD,Madrid,DUB,Dublin,MAD-DUB,0,A321,220,273.91
QR,Qatar Airways,DOH,Doha,FCO,Rome,DOH-FCO,0,B777-300ER,360,1403.89
AI,Air India,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,A350-900,315,729.71
SV,Saudia,PHL,Philadelphia,DEN,Denver,PHL-DEN,1,A320,180,243.41
BA,British Airways,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,B777-300ER,360,867.51
EK,Emirates,SYD,Sydney,SIN,Singapore,SYD-SIN,0,A350-900,315,683.3
BA,British Airways,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B777-300ER,360,1415.42
BA,British Airways,LGW,London,LHR,London,LGW-LHR,0,B737-800,189,286.63
KE,Korean Air,ICN,Seoul,LGW,London,ICN-LGW,0,A350-900,315,645.91
JL,Japan Airlines,NBO,Nairobi,CLT,Charlotte,NBO-CLT,1,A380-800,489,1087.84
BR,EVA Air,TPE,Taipei,YVR,Vancouver,TPE-YVR,0,B787-9,290,905.67
AI,Air India,LAX,Los Angeles,LHR,London,LAX-LHR,0,A380-800,489,1246.14
FR,Ryanair,DUB,Dublin,SYD,Sydney,DUB-SYD,0,A350-900,315,1397.09
FR,Ryanair,DXB,Dubai,LHR,London,DXB-LHR,0,B777-300ER,360,749.55
IB,Iberia,SIN,Singapore,BOM,Mumbai,SIN-BOM,1,B737-800,189,178.86
KL,KLM,CDG,Paris,BGY,Milan,CDG-BGY,1,A321,220,114.85
FR,Ryanair,DFW,Dallas,STN,London,DFW-STN,1,A350-900,315,1068.96
LX,SWISS,ZRH,Zurich,BNE,Brisbane,ZRH-BNE,1,B777-300ER,360,1180.15
KE,Korean Air,JFK,New York,AMS,Amsterdam,JFK-AMS,0,A380-800,489,1167.82
NZ,Air New Zealand,AKL,Auckland,SFO,San Francisco,AKL-SFO,0,A350-900,315,1396.62
NH,ANA,HKG,Hong Kong,AMS,Amsterdam,HKG-AMS,1,B777-300ER,360,782.41
QR,Qatar Airways,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,A350-900,315,1780.72
AA,American Airlines,AMS,Amsterdam,ATL,Atlanta,AMS-ATL,0,B787-9,290,1290.81
KE,Korean Air,JFK,New York,AMS,Amsterdam,JFK-AMS,0,A380-800,489,1387.27
U2,easyJet,DXB,Dubai,SYD,Sydney,DXB-SYD,0,B787-9,290,1662.56
FR,Ryanair,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,A380-800,489,1435.09
CX,Cathay Pacific,HKG,Hong Kong,SLC,Salt Lake City,HKG-SLC,0,A380-800,489,1618.0
AF,Air France,MEL,Melbourne,CDG,Paris,MEL-CDG,1,A380-800,489,1134.75
AF,Air France,JFK,New York,CDG,Paris,JFK-CDG,0,B777-300ER,360,1335.18
JL,Japan Airlines,YVR,Vancouver,LHR,London,YVR-LHR,0,A380-800,489,1676.65
LA,LATAM Airlines,YVR,Vancouver,LHR,London,YVR-LHR,0,A380-800,489,1607.84
BR,EVA Air,ATL,Atlanta,AMS,Amsterdam,ATL-AMS,0,B777-300ER,360,1352.1
LX,SWISS,FRA,Frankfurt,ZRH,Zurich,FRA-ZRH,1,B737-800,189,157.38
NZ,Air New Zealand,AKL,Auckland,IST,Istanbul,AKL-IST,1,B787-9,290,1339.28
KL,KLM,JED,Jeddah,AMS,Amsterdam,JED-AMS,1,B787-9,290,993.9
JL,Japan Airlines,HND,Tokyo,IAH,Houston,HND-IAH,0,A380-800,489,1735.27
LX,SWISS,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,B787-9,290,1056.46
AF,Air France,AMS,Amsterdam,ATL,Atlanta,AMS-ATL,0,B787-9,290,1067.98
KL,KLM,DOH,Doha,JFK,New York,DOH-JFK,0,A380-800,489,1559.84
BR,EVA Air,LHR,London,DOH,Doha,LHR-DOH,0,A350-900,315,1182.77
TK,Turkish Airlines,IST,Istanbul,DUB,Dublin,IST-DUB,0,A220-300,145,153.95
LA,LATAM Airlines,NRT,Tokyo,LAX,Los Angeles,NRT-LAX,0,A350-900,315,1776.87
AZ,ITA Airways,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,B787-9,290,1395.6
NH,ANA,SCL,Santiago,AKL,Auckland,SCL-AKL,1,B787-9,290,987.9
LA,LATAM Airlines,ADD,Addis Ababa,SCL,Santiago,ADD-SCL,1,B787-8,242,521.31
AV,Avianca,BOG,Bogota,YVR,Vancouver,BOG-YVR,0,B777-300ER,360,902.73
AZ,ITA Airways,DXB,Dubai,SYD,Sydney,DXB-SYD,0,B787-9,290,662.5
SQ,Singapore Airlines,SIN,Singapore,AMS,Amsterdam,SIN-AMS,0,B777-300ER,360,1748.74
KL,KLM,AMS,Amsterdam,ICN,Seoul,AMS-ICN,0,B787-9,290,839.23
KE,Korean Air,ICN,Seoul,SYD,Sydney,ICN-SYD,0,B787-9,290,1168.27
QF,Qantas,VIE,Vienna,SYD,Sydney,VIE-SYD,1,B787-9,290,1355.92
LH,Lufthansa,ZRH,Zurich,IST,Istanbul,ZRH-IST,1,A321,220,201.21
EK,Emirates,DXB,Dubai,MEL,Melbourne,DXB-MEL,0,A350-900,315,630.81
UA,United Airlines,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,B777-300ER,360,1050.37
SQ,Singapore Airlines,LHR,London,DOH,Doha,LHR-DOH,0,A350-900,315,1352.69
JL,Japan Airlines,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,B787-9,290,1421.11
NZ,Air New Zealand,SIN,Singapore,LHR,London,SIN-LHR,0,B787-9,290,649.28
KL,KLM,JFK,New York,DXB,Dubai,JFK-DXB,0,A380-800,489,1377.05
EK,Emirates,DXB,Dubai,ORD,Chicago,DXB-ORD,1,B787-9,290,701.43
AA,American Airlines,GIG,Rio de Janeiro,JFK,New York,GIG-JFK,1,A380-800,489,1430.0
AF,Air France,JFK,New York,FRA,Frankfurt,JFK-FRA,0,B777-300ER,360,1529.57
AA,American Airlines,NRT,Tokyo,JFK,New York,NRT-JFK,1,A380-800,489,878.0
SV,Saudia,JED,Jeddah,SIN,Singapore,JED-SIN,0,B787-9,290,1500.57
LH,Lufthansa,LAX,Los Angeles,BNE,Brisbane,LAX-BNE,1,A380-800,489,899.44
JL,Japan Airlines,BNE,Brisbane,NRT,Tokyo,BNE-NRT,1,B777-300ER,360,1547.3
UA,United Airlines,PHL,Philadelphia,MXP,Milan,PHL-MXP,1,B777-300ER,360,728.9
QR,Qatar Airways,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,A380-800,489,1428.73
JL,Japan Airlines,HND,Tokyo,FRA,Frankfurt,HND-FRA,0,A380-800,489,953.08
KL,KLM,MIA,Miami,BCN,Barcelona,MIA-BCN,1,A380-800,489,1176.89
NZ,Air New Zealand,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B777-300ER,360,996.95
IB,Iberia,YVR,Vancouver,LHR,London,YVR-LHR,0,A380-800,489,744.79
EY,Etihad Airways,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,A350-900,315,1741.05
DL,Delta Air Lines,SLC,Salt Lake City,CPT,Cape Town,SLC-CPT,0,A350-900,315,931.8
BR,EVA Air,TPE,Taipei,DXB,Dubai,TPE-DXB,1,B777-300ER,360,853.55
LX,SWISS,GVA,Geneva,SCL,Santiago,GVA-SCL,0,B777-300ER,360,929.17
NZ,Air New Zealand,AKL,Auckland,JNB,Johannesburg,AKL-JNB,0,B787-9,290,751.54
NZ,Air New Zealand,SYD,Sydney,DXB,Dubai,SYD-DXB,0,A380-800,489,941.21
EY,Etihad Airways,CAI,Cairo,AUH,Abu Dhabi,CAI-AUH,1,B787-8,242,356.13
UA,United Airlines,DXB,Dubai,JFK,New York,DXB-JFK,0,A380-800,489,1190.1
BR,EVA Air,SIN,Singapore,LHR,London,SIN-LHR,0,B787-9,290,1738.95
TK,Turkish Airlines,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B787-9,290,1517.33
EK,Emirates,DXB,Dubai,EWR,Newark,DXB-EWR,0,A350-900,315,1690.21
TK,Turkish Airlines,IST,Istanbul,GIG,Rio de Janeiro,IST-GIG,0,B777-300ER,360,966.46
U2,easyJet,LHR,London,ORD,Chicago,LHR-ORD,0,B787-9,290,1737.11
AA,American Airlines,CLT,Charlotte,PHL,Philadelphia,CLT-PHL,0,A321,220,217.61
QF,Qantas,MEL,Melbourne,AMS,Amsterdam,MEL-AMS,0,A350-900,315,603.21
UA,United Airlines,SYD,Sydney,SIN,Singapore,SYD-SIN,0,A380-800,489,639.17
LX,SWISS,GVA,Geneva,MUC,Munich,GVA-MUC,0,B737-800,189,235.53
AF,Air France,ORY,Paris,YYZ,Toronto,ORY-YYZ,0,A350-900,315,1350.07
EY,Etihad Airways,AUH,Abu Dhabi,ORY,Paris,AUH-ORY,1,A350-900,315,1320.71
QF,Qantas,JFK,New York,LHR,London,JFK-LHR,0,A350-900,315,969.13
AI,Air India,DOH,Doha,JFK,New York,DOH-JFK,0,B777-300ER,360,964.91
AV,Avianca,LAX,Los Angeles,NRT,Tokyo,LAX-NRT,0,A380-800,489,1192.55
UA,United Airlines,ORD,Chicago,LIM,Lima,ORD-LIM,0,B787-9,290,1481.44
JL,Japan Airlines,TPE,Taipei,NRT,Tokyo,TPE-NRT,1,B737-800,189,81.69
AF,Air France,ORY,Paris,MEL,Melbourne,ORY-MEL,0,B787-9,290,923.41
QR,Qatar Airways,DOH,Doha,MXP,Milan,DOH-MXP,1,B787-9,290,1104.23
JL,Japan Airlines,GVA,Geneva,IAH,Houston,GVA-IAH,1,B777-300ER,360,1237.83
AC,Air Canada,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B787-9,290,985.27
AC,Air Canada,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,B787-9,290,1432.41
BA,British Airways,LHR,London,YVR,Vancouver,LHR-YVR,0,B777-300ER,360,1512.6
DL,Delta Air Lines,DXB,Dubai,SYD,Sydney,DXB-SYD,0,B787-9,290,987.93
U2,easyJet,VIE,Vienna,MEX,Mexico City,VIE-MEX,1,A380-800,489,573.91
NH,ANA,SIN,Singapore,SYD,Sydney,SIN-SYD,0,A380-800,489,1034.14
AF,Air France,SIN,Singapore,CDG,Paris,SIN-CDG,1,A380-800,489,773.27
LX,SWISS,MSP,Minneapolis,MEX,Mexico City,MSP-MEX,1,B737-800,189,170.53
U2,easyJet,LTN,London,IAH,Houston,LTN-IAH,0,A350-900,315,616.41
SQ,Singapore Airlines,SIN,Singapore,NBO,Nairobi,SIN-NBO,0,A380-800,489,1695.52
SV,Saudia,JED,Jeddah,SFO,San Francisco,JED-SFO,0,A380-800,489,784.77
SV,Saudia,JED,Jeddah,MIA,Miami,JED-MIA,0,B777-300ER,360,1601.67
BA,British Airways,LHR,London,ORY,Paris,LHR-ORY,1,A220-300,145,128.36
DL,Delta Air Lines,JFK,New York,DOH,Doha,JFK-DOH,0,A350-900,315,1548.01
BR,EVA Air,CAI,Cairo,TPE,Taipei,CAI-TPE,1,A380-800,489,782.8
LA,LATAM Airlines,ORY,Paris,KUL,Kuala Lumpur,ORY-KUL,1,B777-300ER,360,1327.67
AI,Air India,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,A380-800,489,1262.3
LA,LATAM Airlines,GRU,Sao Paulo,DTW,Detroit,GRU-DTW,0,A380-800,489,826.38
NH,ANA,HND,Tokyo,VIE,Vienna,HND-VIE,0,A350-900,315,1530.65
SQ,Singapore Airlines,ATL,Atlanta,AMS,Amsterdam,ATL-AMS,0,B787-9,290,1696.12
CX,Cathay Pacific,ORY,Paris,HKG,Hong Kong,ORY-HKG,1,A380-800,489,1533.7
AC,Air Canada,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,A380-800,489,1758.42
AZ,ITA Airways,STN,London,MSP,Minneapolis,STN-MSP,1,B777-300ER,360,1030.33
AI,Air India,BOM,Mumbai,BCN,Barcelona,BOM-BCN,0,A380-800,489,1645.12
TK,Turkish Airlines,FRA,Frankfurt,JFK,New York,FRA-JFK,0,A350-900,315,918.03
NZ,Air New Zealand,LIN,Milan,ORD,Chicago,LIN-ORD,1,A380-800,489,1546.73
NH,ANA,HND,Tokyo,MXP,Milan,HND-MXP,0,A380-800,489,1664.93
IB,Iberia,VIE,Vienna,MEX,Mexico City,VIE-MEX,1,A380-800,489,631.45
SQ,Singapore Airlines,DXB,Dubai,JFK,New York,DXB-JFK,0,B777-300ER,360,1120.77
QF,Qantas,BGY,Milan,SYD,Sydney,BGY-SYD,1,B787-9,290,626.9
TK,Turkish Airlines,IST,Istanbul,DTW,Detroit,IST-DTW,0,B777-300ER,360,1555.37
AC,Air Canada,YUL,Montreal,IST,Istanbul,YUL-IST,0,B777-300ER,360,893.04
IB,Iberia,MAD,Madrid,TPE,Taipei,MAD-TPE,1,A380-800,489,691.0
AF,Air France,SLC,Salt Lake City,ORY,Paris,SLC-ORY,1,A380-800,489,1470.2
BR,EVA Air,TPE,Taipei,SCL,Santiago,TPE-SCL,0,A380-800,489,1400.21
KE,Korean Air,ICN,Seoul,AMS,Amsterdam,ICN-AMS,1,A380-800,489,712.99
U2,easyJet,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B777-300ER,360,1754.43
JL,Japan Airlines,LHR,London,SIN,Singapore,LHR-SIN,0,B777-300ER,360,1799.25
AC,Air Canada,DTW,Detroit,CPT,Cape Town,DTW-CPT,1,A380-800,489,912.73
BR,EVA Air,LAX,Los Angeles,CDG,Paris,LAX-CDG,0,B777-300ER,360,1074.97
KE,Korean Air,ICN,Seoul,JED,Jeddah,ICN-JED,0,B787-9,290,1493.6
AV,Avianca,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B787-9,290,1599.41
AV,Avianca,HKG,Hong Kong,SFO,San Francisco,HKG-SFO,0,B777-300ER,360,1562.32
U2,easyJet,HND,Tokyo,CDG,Paris,HND-CDG,1,A350-900,315,1323.59
QF,Qantas,MEL,Melbourne,TPE,Taipei,MEL-TPE,0,A350-900,315,1375.61
SQ,Singapore Airlines,AMS,Amsterdam,JFK,New York,AMS-JFK,0,B777-300ER,360,1037.83
QF,Qantas,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,A350-900,315,1496.98
AZ,ITA Airways,LIN,Milan,JED,Jeddah,LIN-JED,1,A350-900,315,1476.51
FR,Ryanair,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B777-300ER,360,1589.63
AC,Air Canada,YVR,Vancouver,LHR,London,YVR-LHR,1,A380-800,489,1556.51
SV,Saudia,JED,Jeddah,MAD,Madrid,JED-MAD,1,A380-800,489,1677.47
NZ,Air New Zealand,AKL,Auckland,DEL,Delhi,AKL-DEL,0,A380-800,489,1038.93
LH,Lufthansa,DEL,Delhi,ZRH,Zurich,DEL-ZRH,1,A380-800,489,1066.39
BR,EVA Air,CDG,Paris,LAX,Los Angeles,CDG-LAX,0,B777-300ER,360,1728.35
BA,British Airways,LHR,London,DXB,Dubai,LHR-DXB,0,B787-9,290,1343.46
BR,EVA Air,TPE,Taipei,MIA,Miami,TPE-MIA,0,B777-300ER,360,675.86
JL,Japan Airlines,ZRH,Zurich,SCL,Santiago,ZRH-SCL,1,A380-800,489,944.74
SQ,Singapore Airlines,SFO,San Francisco,HKG,Hong Kong,SFO-HKG,0,B787-9,290,716.63
BA,British Airways,LGW,London,GVA,Geneva,LGW-GVA,0,A321,220,165.5
LX,SWISS,SFO,San Francisco,FRA,Frankfurt,SFO-FRA,0,A380-800,489,1662.5
QF,Qantas,BNE,Brisbane,BOM,Mumbai,BNE-BOM,1,B787-9,290,1525.8
LX,SWISS,ORD,Chicago,LHR,London,ORD-LHR,0,B777-300ER,360,883.34
SQ,Singapore Airlines,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B777-300ER,360,1253.36
IB,Iberia,LHR,London,DOH,Doha,LHR-DOH,0,B777-300ER,360,1761.85
DL,Delta Air Lines,JFK,New York,BKK,Bangkok,JFK-BKK,1,A380-800,489,1321.63
EK,Emirates,PHL,Philadelphia,DXB,Dubai,PHL-DXB,1,B787-9,290,689.33
SV,Saudia,ATL,Atlanta,RUH,Riyadh,ATL-RUH,1,B787-9,290,1235.3
AZ,ITA Airways,LIN,Milan,YYZ,Toronto,LIN-YYZ,0,A350-900,315,1680.64
LH,Lufthansa,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B787-9,290,1785.03
TK,Turkish Airlines,JFK,New York,CDG,Paris,JFK-CDG,0,B777-300ER,360,1639.74
KE,Korean Air,PHL,Philadelphia,ICN,Seoul,PHL-ICN,1,A350-900,315,787.09
AI,Air India,LHR,London,DOH,Doha,LHR-DOH,0,A350-900,315,1105.15
SQ,Singapore Airlines,SYD,Sydney,DXB,Dubai,SYD-DXB,0,B787-9,290,1533.62
U2,easyJet,CDG,Paris,LIM,Lima,CDG-LIM,0,B787-9,290,1338.13
SV,Saudia,LHR,London,DXB,Dubai,LHR-DXB,0,B777-300ER,360,672.99
AF,Air France,LHR,London,YYZ,Toronto,LHR-YYZ,0,A380-800,489,729.55
CX,Cathay Pacific,HKG,Hong Kong,CLT,Charlotte,HKG-CLT,0,A380-800,489,1329.96
BR,EVA Air,TPE,Taipei,LAX,Los Angeles,TPE-LAX,0,B787-9,290,1302.44
AV,Avianca,FCO,Rome,SCL,Santiago,FCO-SCL,1,B777-300ER,360,868.66
AF,Air France,SYD,Sydney,DXB,Dubai,SYD-DXB,0,A380-800,489,1623.35
SQ,Singapore Airlines,SIN,Singapore,BOM,Mumbai,SIN-BOM,1,A321,220,165.76
EK,Emirates,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,A380-800,489,1112.12
IB,Iberia,MAD,Madrid,YVR,Vancouver,MAD-YVR,1,B777-300ER,360,1465.2
LH,Lufthansa,ZRH,Zurich,ORY,Paris,ZRH-ORY,0,A320,180,100.51
QR,Qatar Airways,DOH,Doha,SIN,Singapore,DOH-SIN,0,A350-900,315,1273.9
NZ,Air New Zealand,AKL,Auckland,JNB,Johannesburg,AKL-JNB,1,B777-300ER,360,1587.23
JL,Japan Airlines,LAX,Los Angeles,CDG,Paris,LAX-CDG,0,A380-800,489,1762.08
AV,Avianca,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,B777-300ER,360,855.29
IB,Iberia,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,A380-800,489,1614.45
AA,American Airlines,LHR,London,DOH,Doha,LHR-DOH,0,B777-300ER,360,871.39
EY,Etihad Airways,AUH,Abu Dhabi,CAI,Cairo,AUH-CAI,0,B787-8,242,883.46
AC,Air Canada,YYZ,Toronto,PHL,Philadelphia,YYZ-PHL,1,A320,180,182.63
AI,Air India,DOH,Doha,JFK,New York,DOH-JFK,0,B777-300ER,360,1007.79
DL,Delta Air Lines,DTW,Detroit,AUH,Abu Dhabi,DTW-AUH,0,B787-9,290,1388.81
QR,Qatar Airways,DXB,Dubai,SYD,Sydney,DXB-SYD,0,B787-9,290,636.79
AA,American Airlines,JFK,New York,DXB,Dubai,JFK-DXB,0,A350-900,315,788.89
EY,Etihad Airways,HKG,Hong Kong,BCN,Barcelona,HKG-BCN,1,B777-300ER,360,1102.01
BR,EVA Air,SYD,Sydney,SIN,Singapore,SYD-SIN,0,B787-9,290,659.71
TK,Turkish Airlines,DXB,Dubai,MEL,Melbourne,DXB-MEL,0,B787-9,290,1182.79
IB,Iberia,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,A380-800,489,1214.82
SV,Saudia,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,B777-300ER,360,1414.18
TK,Turkish Airlines,ORD,Chicago,LHR,London,ORD-LHR,0,A380-800,489,864.62
TK,Turkish Airlines,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,B787-9,290,853.48
NZ,Air New Zealand,SIN,Singapore,LHR,London,SIN-LHR,0,A350-900,315,743.98
JL,Japan Airlines,HND,Tokyo,MUC,Munich,HND-MUC,1,A380-800,489,987.0
