airline_iata,airline_name,source_iata,source_city,destination_iata,destination_city,route,stops,aircraft_type,aircraft_capacity,price_usd
JL,Japan Airlines,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,A350-1000,366,1583.25
SQ,Singapore Airlines,JFK,New York,FRA,Frankfurt,JFK-FRA,0,A380-800,489,1072.21
SV,Saudia,JFK,New York,LHR,London,JFK-LHR,0,B787-9,290,1729.4
AZ,ITA Airways,YUL,Montreal,CDG,Paris,YUL-CDG,0,B787-10,330,1381.83
IB,Iberia,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B747-8,410,617.83
LX,SWISS,JFK,New York,LHR,London,JFK-LHR,0,B787-10,330,1383.58
TK,Turkish Airlines,IST,Istanbul,ICN,Seoul,IST-ICN,0,B777-200ER,317,1869.14
LA,LATAM Airlines,LIM,Lima,SCL,Santiago,LIM-SCL,1,E190,100,290.46
LA,LATAM Airlines,GRU,Sao Paulo,ATL,Atlanta,GRU-ATL,1,B787-8,242,525.68
TK,Turkish Airlines,JNB,Johannesburg,ICN,Seoul,JNB-ICN,1,B777-300ER,360,1409.89
AA,American Airlines,ORY,Paris,LAX,Los Angeles,ORY-LAX,1,B777-300ER,360,1004.16
NZ,Air New Zealand,DXB,Dubai,AKL,Auckland,DXB-AKL,1,B777-200ER,317,879.13
IB,Iberia,MAD,Madrid,BKK,Bangkok,MAD-BKK,1,A350-1000,366,854.0
AC,Air Canada,DOH,Doha,JFK,New York,DOH-JFK,0,A380-800,489,1132.42
AI,Air India,FRA,Frankfurt,SFO,San Francisco,FRA-SFO,0,A380-800,489,694.34
QF,Qantas,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,A380-800,489,1872.56
CX,Cathay Pacific,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,B787-9,290,1913.44
LA,LATAM Airlines,FRA,Frankfurt,JFK,New York,FRA-JFK,0,A380-800,489,1233.38
AI,Air India,LHR,London,LAX,Los Angeles,LHR-LAX,0,B777-300ER,360,1554.37
AF,Air France,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,A380-800,489,1428.44
NH,ANA,NRT,Tokyo,KUL,Kuala Lumpur,NRT-KUL,1,A321,220,207.09
EY,Etihad Airways,AUH,Abu Dhabi,YYZ,Toronto,AUH-YYZ,0,A380-800,489,1137.17
AF,Air France,CDG,Paris,MXP,Milan,CDG-MXP,1,E190,100,311.89
IB,Iberia,MAD,Madrid,SCL,Santiago,MAD-SCL,1,B787-9,290,1593.77
AZ,ITA Airways,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B787-10,330,1211.35
LA,LATAM Airlines,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,B747-8,410,743.93
BR,EVA Air,TPE,Taipei,DTW,Detroit,TPE-DTW,0,B777-200ER,317,871.5
QR,Qatar Airways,DOH,Doha,AUH,Abu Dhabi,DOH-AUH,0,E190,100,192.73
U2,easyJet,JFK,New York,FRA,Frankfurt,JFK-FRA,0,A380-800,489,704.41
AF,Air France,ORD,Chicago,LHR,London,ORD-LHR,0,B787-9,290,1475.41
U2,easyJet,LTN,London,FRA,Frankfurt,LTN-FRA,1,B737 MAX 8,178,113.86
LH,Lufthansa,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,B787-9,290,1835.91
FR,Ryanair,DXB,Dubai,MEL,Melbourne,DXB-MEL,0,A350-1000,366,1332.84
JL,Japan Airlines,YUL,Montreal,CDG,Paris,YUL-CDG,0,A350-1000,366,865.69
UA,United Airlines,ORD,Chicago,DTW,Detroit,ORD-DTW,0,A321,220,196.59
NH,ANA,NRT,Tokyo,MXP,Milan,NRT-MXP,1,B777-200ER,317,866.0
EY,Etihad Airways,HKG,Hong Kong,BCN,Barcelona,HKG-BCN,1,B787-10,330,1394.69
SQ,Singapore Airlines,DXB,Dubai,LHR,London,DXB-LHR,0,A321LR,206,1008.03
KE,Korean Air,LHR,London,SIN,Singapore,LHR-SIN,0,A380-800,489,1171.77
TK,Turkish Airlines,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B787-10,330,1390.55
IB,Iberia,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,A350-1000,366,757.35
AI,Air India,DFW,Dallas,BOM,Mumbai,DFW-BOM,1,B787-10,330,1233.01
LA,LATAM Airlines,ADD,Addis Ababa,KUL,Kuala Lumpur,ADD-KUL,1,A380-800,489,1184.73
UA,United Airlines,SFO,San Francisco,HKG,Hong Kong,SFO-HKG,0,B787-9,290,1750.53
NZ,Air New Zealand,SFO,San Francisco,ICN,Seoul,SFO-ICN,0,B787-10,330,1152.34
NZ,Air New Zealand,AKL,Auckland,KUL,Kuala Lumpur,AKL-KUL,0,B747-8,410,1514.83
EY,Etihad Airways,AUH,Abu Dhabi,JFK,New York,AUH-JFK,0,B777-300ER,360,1594.19
AV,Avianca,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,B747-8,410,1152.21
LH,Lufthansa,YYZ,Toronto,LHR,London,YYZ-LHR,0,B777-300ER,360,1035.52
SQ,Singapore Airlines,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,B787-10,330,1074.04
NZ,Air New Zealand,ORD,Chicago,LHR,London,ORD-LHR,0,B747-8,410,1411.37
SQ,Singapore Airlines,SIN,Singapore,LGW,London,SIN-LGW,1,B777-200ER,317,652.99
AC,Air Canada,YVR,Vancouver,AKL,Auckland,YVR-AKL,0,A350-1000,366,1001.14
EY,Etihad Airways,ORD,Chicago,LHR,London,ORD-LHR,0,B777-300ER,360,1885.96
AI,Air India,BOM,Mumbai,LHR,London,BOM-LHR,0,B777-300ER,360,1220.04
DL,Delta Air Lines,CDG,Paris,JFK,New York,CDG-JFK,0,A350-1000,366,758.66
SV,Saudia,LHR,London,DXB,Dubai,LHR-DXB,0,B787-8,242,552.97
AF,Air France,ORY,Paris,IAH,Houston,ORY-IAH,0,B747-8,410,1496.94
IB,Iberia,MAD,Madrid,DEL,Delhi,MAD-DEL,0,B787-9,290,661.69
UA,United Airlines,RUH,Riyadh,NBO,Nairobi,RUH-NBO,1,A350-1000,366,893.51
BA,British Airways,TPE,Taipei,ORY,Paris,TPE-ORY,1,B777-200ER,317,1116.52
TK,Turkish Airlines,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,B747-8,410,866.08
EK,Emirates,SFO,San Francisco,FRA,Frankfurt,SFO-FRA,0,B787-10,330,1591.21
UA,United Airlines,BOM,Mumbai,DEN,Denver,BOM-DEN,1,A350-900,315,748.41
AC,Air Canada,YUL,Montreal,GVA,Geneva,YUL-GVA,0,B777-300ER,360,1962.88
AV,Avianca,BOG,Bogota,SLC,Salt Lake City,BOG-SLC,0,A330-200,246,343.88
AZ,ITA Airways,LIN,Milan,FRA,Frankfurt,LIN-FRA,0,A319,138,239.02
SQ,Singapore Airlines,JFK,New York,LHR,London,JFK-LHR,0,B787-9,290,2078.76
U2,easyJet,JFK,New York,DOH,Doha,JFK-DOH,0,A350-900,315,1236.78
NZ,Air New Zealand,AKL,Auckland,HKG,Hong Kong,AKL-HKG,0,B787-10,330,1775.11
QR,Qatar Airways,SIN,Singapore,SYD,Sydney,SIN-SYD,0,B747-8,410,1282.45
UA,United Airlines,ORD,Chicago,MUC,Munich,ORD-MUC,0,B787-9,290,983.86
AC,Air Canada,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B787-10,330,1599.1
NH,ANA,LHR,London,YVR,Vancouver,LHR-YVR,0,B787-10,330,1494.2
EY,Etihad Airways,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,B737 MAX 9,193,383.66
QF,Qantas,CDG,Paris,YUL,Montreal,CDG-YUL,0,B777-300ER,360,723.96
DL,Delta Air Lines,ZRH,Zurich,ATL,Atlanta,ZRH-ATL,1,A380-800,489,1215.08
BA,British Airways,LHR,London,SYD,Sydney,LHR-SYD,0,A380-800,489,1251.42
KE,Korean Air,YVR,Vancouver,LHR,London,YVR-LHR,0,A380-800,489,1031.91
DL,Delta Air Lines,MSP,Minneapolis,LIN,Milan,MSP-LIN,1,B787-10,330,1467.2
AV,Avianca,DEL,Delhi,SLC,Salt Lake City,DEL-SLC,1,B787-10,330,578.97
AZ,ITA Airways,GVA,Geneva,GRU,Sao Paulo,GVA-GRU,1,B787-9,290,969.3
BA,British Airways,LGW,London,GVA,Geneva,LGW-GVA,0,A319,138,165.45
AC,Air Canada,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B747-8,410,665.11
LA,LATAM Airlines,GRU,Sao Paulo,BKK,Bangkok,GRU-BKK,1,B777-300ER,360,1419.76
BA,British Airways,CDG,Paris,LAX,Los Angeles,CDG-LAX,0,A350-1000,366,1245.37
FR,Ryanair,BGY,Milan,ICN,Seoul,BGY-ICN,0,A350-900,315,1462.75
AZ,ITA Airways,DXB,Dubai,LHR,London,DXB-LHR,0,A321XLR,200,294.73
BA,British Airways,LHR,London,LAX,Los Angeles,LHR-LAX,0,B777-300ER,360,1243.54
BR,EVA Air,FRA,Frankfurt,ORD,Chicago,FRA-ORD,0,B777-300ER,360,1674.0
BR,EVA Air,CDG,Paris,LAX,Los Angeles,CDG-LAX,0,B747-8,410,1218.88
UA,United Airlines,IAH,Houston,ORD,Chicago,IAH-ORD,0,E190,100,287.46
JL,Japan Airlines,NRT,Tokyo,DEL,Delhi,NRT-DEL,1,A319,138,120.47
AI,Air India,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B787-9,290,1791.4
LX,SWISS,ZRH,Zurich,BNE,Brisbane,ZRH-BNE,0,B777-300ER,360,1544.67
LH,Lufthansa,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,A350-900,315,1336.57
QF,Qantas,KUL,Kuala Lumpur,RUH,Riyadh,KUL-RUH,1,A330-200,246,380.21
NH,ANA,HND,Tokyo,LIN,Milan,HND-LIN,0,B747-8,410,1945.75
AZ,ITA Airways,FCO,Rome,MSP,Minneapolis,FCO-MSP,0,A380-800,489,995.03
QF,Qantas,VIE,Vienna,SYD,Sydney,VIE-SYD,1,A350-900,315,966.91
EK,Emirates,DXB,Dubai,EWR,Newark,DXB-EWR,0,A380-800,489,1802.54
NZ,Air New Zealand,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,B747-8,410,708.0
UA,United Airlines,AMS,Amsterdam,LAX,Los Angeles,AMS-LAX,1,B787-10,330,1606.1
EY,Etihad Airways,LGW,London,DXB,Dubai,LGW-DXB,1,A321LR,206,663.48
AA,American Airlines,ORD,Chicago,BOG,Bogota,ORD-BOG,0,B757-200,200,608.69
CX,Cathay Pacific,JNB,Johannesburg,DEN,Denver,JNB-DEN,1,B747-8,410,1320.98
JL,Japan Airlines,NRT,Tokyo,DEN,Denver,NRT-DEN,0,A350-900,315,1877.72
JL,Japan Airlines,JFK,New York,AMS,Amsterdam,JFK-AMS,0,B747-8,410,913.87
U2,easyJet,YVR,Vancouver,LHR,London,YVR-LHR,0,A350-1000,366,1194.94
BR,EVA Air,JFK,New York,DXB,Dubai,JFK-DXB,0,B787-9,290,1220.44
JL,Japan Airlines,NRT,Tokyo,DUB,Dublin,NRT-DUB,1,B787-10,330,1187.73
AA,American Airlines,JFK,New York,AMS,Amsterdam,JFK-AMS,1,B747-8,410,1605.49
KE,Korean Air,MEX,Mexico City,ICN,Seoul,MEX-ICN,1,A380-800,489,1522.28
IB,Iberia,SCL,Santiago,NBO,Nairobi,SCL-NBO,1,A350-900,315,1009.97
NH,ANA,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,A350-900,315,1729.89
AC,Air Canada,YUL,Montreal,SCL,Santiago,YUL-SCL,0,B767-300ER,261,515.54
NH,ANA,HND,Tokyo,GIG,Rio de Janeiro,HND-GIG,1,B777-300ER,360,1487.94
AA,American Airlines,DFW,Dallas,TPE,Taipei,DFW-TPE,1,B747-8,410,1490.06
UA,United Airlines,DOH,Doha,LHR,London,DOH-LHR,0,A330-300,277,620.65
FR,Ryanair,DFW,Dallas,STN,London,DFW-STN,1,B747-8,410,1464.73
DL,Delta Air Lines,SLC,Salt Lake City,BOG,Bogota,SLC-BOG,0,B757-200,200,603.27
QF,Qantas,LHR,London,LAX,Los Angeles,LHR-LAX,0,A380-800,489,749.54
FR,Ryanair,LHR,London,DXB,Dubai,LHR-DXB,0,B767-300ER,261,419.2
AZ,ITA Airways,LIN,Milan,LAX,Los Angeles,LIN-LAX,0,A350-900,315,1030.45
FR,Ryanair,LHR,London,SIN,Singapore,LHR-SIN,0,B777-200ER,317,1436.31
NZ,Air New Zealand,LHR,London,ORD,Chicago,LHR-ORD,0,B747-8,410,831.42
EK,Emirates,DXB,Dubai,HND,Tokyo,DXB-HND,1,A321LR,206,756.62
SV,Saudia,LGW,London,AKL,Auckland,LGW-AKL,1,A350-900,315,592.68
BR,EVA Air,NRT,Tokyo,YUL,Montreal,NRT-YUL,1,A380-800,489,1500.29
QR,Qatar Airways,LAX,Los Angeles,DOH,Doha,LAX-DOH,1,A380-800,489,1980.42
EY,Etihad Airways,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,B747-8,410,1614.79
BA,British Airways,LHR,London,MSP,Minneapolis,LHR-MSP,0,B787-10,330,1018.94
IB,Iberia,IST,Istanbul,MAD,Madrid,IST-MAD,1,B737-800,189,320.19
TK,Turkish Airlines,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B787-10,330,1563.5
LA,LATAM Airlines,SYD,Sydney,DXB,Dubai,SYD-DXB,0,B787-10,330,1132.47
IB,Iberia,MAD,Madrid,DUB,Dublin,MAD-DUB,1,A319,138,82.6
NH,ANA,SFO,San Francisco,FRA,Frankfurt,SFO-FRA,0,B777-200ER,317,1171.66
U2,easyJet,MXP,Milan,NBO,Nairobi,MXP-NBO,0,B767-300ER,261,564.22
LX,SWISS,GVA,Geneva,RUH,Riyadh,GVA-RUH,1,B737 MAX 9,193,370.18
BA,British Airways,LHR,London,YVR,Vancouver,LHR-YVR,0,A350-1000,366,1354.18
AA,American Airlines,LHR,London,YVR,Vancouver,LHR-YVR,0,A350-1000,366,1102.49
AZ,ITA Airways,FCO,Rome,CAI,Cairo,FCO-CAI,0,A330-200,246,712.75
LX,SWISS,GVA,Geneva,ADD,Addis Ababa,GVA-ADD,1,B787-8,242,814.9
QF,Qantas,AMS,Amsterdam,MEL,Melbourne,AMS-MEL,1,B747-8,410,1752.04
NH,ANA,CDG,Paris,JFK,New York,CDG-JFK,0,A380-800,489,1572.01
KE,Korean Air,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,B777-300ER,360,850.95
QF,Qantas,DXB,Dubai,FRA,Frankfurt,DXB-FRA,0,B787-8,242,339.32
LH,Lufthansa,ZRH,Zurich,SIN,Singapore,ZRH-SIN,0,B777-200ER,317,1586.72
SV,Saudia,CDG,Paris,YUL,Montreal,CDG-YUL,0,B777-300ER,360,644.16
AV,Avianca,JFK,New York,AMS,Amsterdam,JFK-AMS,0,A380-800,489,875.98
AA,American Airlines,MIA,Miami,LIM,Lima,MIA-LIM,1,A321LR,206,856.72
JL,Japan Airlines,HND,Tokyo,ATL,Atlanta,HND-ATL,0,B777-300ER,360,1600.83
AA,American Airlines,HND,Tokyo,MIA,Miami,HND-MIA,1,B777-200ER,317,719.29
KL,KLM,ORD,Chicago,FRA,Frankfurt,ORD-FRA,0,A350-900,315,1561.97
AZ,ITA Airways,CDG,Paris,LAX,Los Angeles,CDG-LAX,0,B787-9,290,919.4
DL,Delta Air Lines,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B777-200ER,317,1387.48
LA,LATAM Airlines,MSP,Minneapolis,LIM,Lima,MSP-LIM,1,A330-200,246,373.2
DL,Delta Air Lines,ATL,Atlanta,YYZ,Toronto,ATL-YYZ,0,B737 MAX 8,178,250.8
U2,easyJet,LTN,London,JED,Jeddah,LTN-JED,0,B737 MAX 9,193,383.34
AV,Avianca,BKK,Bangkok,BOG,Bogota,BKK-BOG,1,B747-8,410,1565.59
SQ,Singapore Airlines,SIN,Singapore,RUH,Riyadh,SIN-RUH,0,A321XLR,200,584.38
UA,United Airlines,JFK,New York,DOH,Doha,JFK-DOH,0,A350-1000,366,1729.0
BA,British Airways,LHR,London,GIG,Rio de Janeiro,LHR-GIG,0,A380-800,489,2085.95
DL,Delta Air Lines,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B777-200ER,317,713.0
NZ,Air New Zealand,AKL,Auckland,JED,Jeddah,AKL-JED,0,B777-300ER,360,1306.15
QR,Qatar Airways,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B777-300ER,360,1575.62
SV,Saudia,JED,Jeddah,DUB,Dublin,JED-DUB,1,A330-300,277,242.03
JL,Japan Airlines,HND,Tokyo,LGW,London,HND-LGW,0,B777-200ER,317,1772.3
AF,Air France,ORY,Paris,HKG,Hong Kong,ORY-HKG,1,B787-10,330,1405.02
IB,Iberia,LHR,London,LAX,Los Angeles,LHR-LAX,0,A380-800,489,659.92
LX,SWISS,GVA,Geneva,MSP,Minneapolis,GVA-MSP,1,B787-9,290,905.55
BA,British Airways,LHR,London,CAI,Cairo,LHR-CAI,1,B737 MAX 9,193,548.4
BA,British Airways,LGW,London,AKL,Auckland,LGW-AKL,0,A380-800,489,1521.19
BA,British Airways,DXB,Dubai,MEL,Melbourne,DXB-MEL,0,A380-800,489,1651.66
AV,Avianca,BOG,Bogota,STN,London,BOG-STN,0,A380-800,489,1527.62
IB,Iberia,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,B777-200ER,317,841.68
SQ,Singapore Airlines,LHR,London,ORD,Chicago,LHR-ORD,0,A350-1000,366,1724.36
IB,Iberia,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,B777-200ER,317,1369.7
AI,Air India,DEL,Delhi,EWR,Newark,DEL-EWR,0,B777-200ER,317,613.91
LH,Lufthansa,MUC,Munich,SYD,Sydney,MUC-SYD,1,B787-10,330,1670.07
DL,Delta Air Lines,MEL,Melbourne,STN,London,MEL-STN,1,A350-1000,366,1165.22
BR,EVA Air,JFK,New York,LHR,London,JFK-LHR,0,B777-200ER,317,869.16
AF,Air France,ORY,Paris,STN,London,ORY-STN,0,A321,220,113.68
AF,Air France,JFK,New York,FRA,Frankfurt,JFK-FRA,0,A350-1000,366,1519.0
U2,easyJet,ORD,Chicago,LHR,London,ORD-LHR,0,A350-1000,366,788.05
NH,ANA,NRT,Tokyo,RUH,Riyadh,NRT-RUH,0,A321LR,206,528.38
AV,Avianca,LAX,Los Angeles,SYD,Sydney,LAX-SYD,0,A350-900,315,1235.3
TK,Turkish Airlines,CDG,Paris,YUL,Montreal,CDG-YUL,0,B787-10,330,1236.61
AC,Air Canada,YVR,Vancouver,IST,Istanbul,YVR-IST,1,B787-9,290,1021.62
KL,KLM,LAX,Los Angeles,FRA,Frankfurt,LAX-FRA,0,B787-9,290,774.39
DL,Delta Air Lines,FRA,Frankfurt,LAX,Los Angeles,FRA-LAX,0,A380-800,489,1336.37
LH,Lufthansa,VIE,Vienna,TPE,Taipei,VIE-TPE,0,B747-8,410,1226.25
AV,Avianca,YVR,Vancouver,JNB,Johannesburg,YVR-JNB,1,B787-10,330,953.85
SQ,Singapore Airlines,SIN,Singapore,AMS,Amsterdam,SIN-AMS,0,B777-300ER,360,1470.29
AI,Air India,CDG,Paris,JFK,New York,CDG-JFK,0,B787-9,290,1856.0
AC,Air Canada,JFK,New York,FRA,Frankfurt,JFK-FRA,0,A380-800,489,1463.19
NZ,Air New Zealand,AKL,Auckland,VIE,Vienna,AKL-VIE,0,B747-8,410,663.18
KE,Korean Air,ICN,Seoul,TPE,Taipei,ICN-TPE,0,A320neo,186,96.69
DL,Delta Air Lines,ATL,Atlanta,LGW,London,ATL-LGW,0,B777-200ER,317,1112.11
CX,Cathay Pacific,CDG,Paris,JFK,New York,CDG-JFK,0,B777-300ER,360,1300.69
AI,Air India,DEL,Delhi,JED,Jeddah,DEL-JED,0,A321XLR,200,672.82
AV,Avianca,YUL,Montreal,CDG,Paris,YUL-CDG,0,A350-1000,366,1124.73
NH,ANA,LHR,London,YYZ,Toronto,LHR-YYZ,0,A380-800,489,1107.13
DL,Delta Air Lines,SLC,Salt Lake City,SFO,San Francisco,SLC-SFO,0,E190,100,273.71
AA,American Airlines,ORD,Chicago,LHR,London,ORD-LHR,0,B777-200ER,317,1373.45
AZ,ITA Airways,CLT,Charlotte,FCO,Rome,CLT-FCO,1,A350-900,315,1128.95
AC,Air Canada,YVR,Vancouver,LIN,Milan,YVR-LIN,0,B787-10,330,668.93
AZ,ITA Airways,LAX,Los Angeles,FCO,Rome,LAX-FCO,1,B777-200ER,317,1410.73
BR,EVA Air,JFK,New York,DOH,Doha,JFK-DOH,0,B777-200ER,317,1460.03
NH,ANA,ATL,Atlanta,AMS,Amsterdam,ATL-AMS,0,A380-800,489,1911.77
SQ,Singapore Airlines,HKG,Hong Kong,BOM,Mumbai,HKG-BOM,1,B737-800,189,255.15
EY,Etihad Airways,SIN,Singapore,LHR,London,SIN-LHR,0,A350-1000,366,853.69
AF,Air France,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B787-10,330,1126.4
AI,Air India,LGW,London,MIA,Miami,LGW-MIA,1,B787-10,330,1425.25
QF,Qantas,IAH,Houston,BNE,Brisbane,IAH-BNE,1,B787-9,290,1405.3
AI,Air India,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B787-9,290,818.02
TK,Turkish Airlines,LHR,London,SIN,Singapore,LHR-SIN,0,B777-300ER,360,1633.65
LX,SWISS,GRU,Sao Paulo,MEX,Mexico City,GRU-MEX,1,B737 MAX 9,193,828.42
AF,Air France,LHR,London,YVR,Vancouver,LHR-YVR,0,A350-900,315,1791.32
DL,Delta Air Lines,MSP,Minneapolis,ORY,Paris,MSP-ORY,0,B787-10,330,1444.91
KL,KLM,LHR,London,YYZ,Toronto,LHR-YYZ,0,A380-800,489,1123.05
AA,American Airlines,CLT,Charlotte,MSP,Minneapolis,CLT-MSP,0,B737-800,189,294.32
AZ,ITA Airways,LIN,Milan,SYD,Sydney,LIN-SYD,0,B787-10,330,1473.29
AC,Air Canada,DOH,Doha,JFK,New York,DOH-JFK,0,B787-9,290,1379.26
AF,Air France,DXB,Dubai,JFK,New York,DXB-JFK,0,A380-800,489,1273.9
SQ,Singapore Airlines,ATL,Atlanta,SIN,Singapore,ATL-SIN,1,B777-300ER,360,878.42
IB,Iberia,JFK,New York,FRA,Frankfurt,JFK-FRA,0,B787-10,330,966.48
AZ,ITA Airways,FCO,Rome,DOH,Doha,FCO-DOH,0,B787-8,242,544.79
CX,Cathay Pacific,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,A350-1000,366,1219.39
EY,Etihad Airways,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,B787-9,290,1011.5
BR,EVA Air,MEL,Melbourne,DXB,Dubai,MEL-DXB,0,A350-900,315,1534.99
DL,Delta Air Lines,LHR,London,LAX,Los Angeles,LHR-LAX,0,B787-10,330,661.45
AI,Air India,FCO,Rome,SCL,Santiago,FCO-SCL,1,A350-900,315,623.15
KE,Korean Air,LHR,London,DXB,Dubai,LHR-DXB,0,A330-300,277,333.15
BR,EVA Air,YYZ,Toronto,LHR,London,YYZ-LHR,0,B787-9,290,1180.99
AF,Air France,CDG,Paris,IAH,Houston,CDG-IAH,0,B787-10,330,1812.37
SQ,Singapore Airlines,LHR,London,BGY,Milan,LHR-BGY,1,E190,100,260.12
AC,Air Canada,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B787-9,290,1683.02
SV,Saudia,RUH,Riyadh,ZRH,Zurich,RUH-ZRH,0,B787-8,242,828.17
IB,Iberia,MAD,Madrid,SCL,Santiago,MAD-SCL,0,B787-10,330,1017.07
BR,EVA Air,LAX,Los Angeles,HKG,Hong Kong,LAX-HKG,0,A380-800,489,1392.93
EK,Emirates,DXB,Dubai,LIN,Milan,DXB-LIN,1,B767-300ER,261,814.46
QR,Qatar Airways,DOH,Doha,LTN,London,DOH-LTN,0,B737 MAX 9,193,348.8
DL,Delta Air Lines,ATL,Atlanta,SLC,Salt Lake City,ATL-SLC,1,A321,220,313.03
AV,Avianca,FRA,Frankfurt,JFK,New York,FRA-JFK,0,A350-900,315,757.74
SV,Saudia,CDG,Paris,LAX,Los Angeles,CDG-LAX,0,A350-1000,366,716.83
BA,British Airways,JFK,New York,CDG,Paris,JFK-CDG,0,B787-10,330,956.42
UA,United Airlines,DEN,Denver,NBO,Nairobi,DEN-NBO,0,B747-8,410,1184.53
SQ,Singapore Airlines,SIN,Singapore,AMS,Amsterdam,SIN-AMS,1,B747-8,410,1622.59
NH,ANA,YVR,Vancouver,LHR,London,YVR-LHR,0,B777-200ER,317,1869.21
EY,Etihad Airways,LHR,London,BGY,Milan,LHR-BGY,1,A320neo,186,202.08
LX,SWISS,ORD,Chicago,LHR,London,ORD-LHR,0,B777-300ER,360,1433.76
